TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.287.600	-	0.662287853620467	-0.412054993353674	21	1	0.0024330900243309	411	8168	415183	tubd1
2.60.200.20	-	0.662287853620467	-0.412054993353674	21	1	0.0024330900243309	411	8168	564271	chfr
3.40.850.10	-	0.662287853620467	-0.412054993353674	21	1	0.0024330900243309	411	8168	30453	kifc1
3.40.50.1440	-	0.679324761957734	-0.386655971281228	22	1	0.0024330900243309	411	8168	415183	tubd1
3.60.10.10	-	0.679324761957734	-0.386655971281228	22	1	0.0024330900243309	411	8168	402965	eepd1
1.20.920.10	-	0.679324761957734	-0.386655971281228	22	1	0.0024330900243309	411	8168	553781	zmynd11
4.10.60.10	-	0.679324761957734	-0.386655971281228	22	1	0.0024330900243309	411	8168	572785	sf1
2.120.10.30	-	0.710869160516735	-0.341266887889725	24	1	0.0024330900243309	411	8168	568518	lrp5
2.60.40.790	-	0.725460611265728	-0.320948499977749	25	1	0.0024330900243309	411	8168	792610	hspb6
1.10.418.10	-	0.73491446737382	-0.308001157460895	51	2	0.0048661800486618	411	8168	553493,431717	arhgef7a,mapre3b
2.60.120.10	-	0.739317382589776	-0.302027974468011	26	1	0.0024330900243309	411	8168	405763	kcnh6a
2.10.110.10	-	0.743828912986457	-0.295944226256267	76	3	0.0072992700729927	411	8168	573024,368250,541550	lpp,prickle2b,ablim1b
2.60.120.290	-	0.752476379856221	-0.284385671747136	27	1	0.0024330900243309	411	8168	100034487	lrp12
3.20.20.80	-	0.788108588178122	-0.238119396361616	30	1	0.0024330900243309	411	8168	406385	galcb
3.60.21.10	-	0.798809911633943	-0.224632269362797	31	1	0.0024330900243309	411	8168	541536	ppp5c
3.30.420.10	-	0.798809911633943	-0.224632269362797	31	1	0.0024330900243309	411	8168	558447	isg20l2
1.20.1250.10	-	0.798809911633943	-0.224632269362797	31	1	0.0024330900243309	411	8168	100004455	epoa
2.70.170.10	-	0.798809911633943	-0.224632269362797	31	1	0.0024330900243309	411	8168	336252	gabrb2
1.10.555.10	-	0.798809911633943	-0.224632269362797	31	1	0.0024330900243309	411	8168	378998	arhgap29b
3.80.10.10	-	0.813897036508409	-0.20592141175614	158	6	0.0145985401459854	411	8168	447837,641481,571972,553730,568668,403127	lingo1b,fbxl8,flrt2,c13h10orf11,ntrk3a,tlr1
3.30.160.60	-	0.82878479770416	-0.187794750183562	321	13	0.0316301703163017	411	8168	114425,30154,564127,406815,777726,553232,415104,353154,572527,548342,492816,100093707,798629	zeb1b,gli2a,foxp1a,aebp2,zgc:113443,znf296,ctcf,sp5a,sall4,zgc:113209,prdm12b,bcl11ba,klf12a
1.10.150.50	-	0.833328060133937	-0.182327884653252	63	2	0.0048661800486618	411	8168	562195,566563	epha7,sgms1
3.30.40.10	-	0.842716203613492	-0.171125028177592	303	12	0.0291970802919708	411	8168	402838,553277,553781,564271,100034496,692252,393962,322113,406442,567818,406508,561654	rnf20,dido1,zmynd11,chfr,trim35-30,pcgf5b,usp20,ing4,amfr,march8,usp33,rnf220a
1.25.40.20	-	0.865340211873119	-0.144632540851944	146	5	0.0121654501216545	411	8168	436801,393119,325167,415100,568138	asb13a.1,ankrd12,ankrd13c,nfkb2,tp53bp2b
3.40.50.720	-	0.867238557763434	-0.142441186919594	195	7	0.0170316301703163	411	8168	492491,777639,402954,566323,556528,368752,751596	dhrs13a.1,gfod2,cbr4,qdpra,rdh5,vat1,cryl1
3.40.390.10	-	0.873841131632282	-0.134856691436837	40	1	0.0024330900243309	411	8168	566044	adam10a
3.90.190.10	-	0.874223231329435	-0.13441952251865	70	2	0.0048661800486618	411	8168	393365,368448	mtmr8,ptpn4a
2.60.40.10	-	0.886073975228543	-0.120954838376503	455	18	0.0437956204379562	411	8168	568668,572313,497644,100141487,572021,369191,573301,562195,571972,100004913,170970,415100,100142639,567422,58129,30705,447837,799440	ntrk3a,fndc3ba,pomgnt2,si:ch211-66e2.3,zgc:91849,tnr,nexn,epha7,flrt2,phyhiplb,nitr1n,nfkb2,timd4,plxna3,fgfr3,fgfr1a,lingo1b,zgc:172120
1.10.20.10	-	0.886277984217174	-0.120724625648783	42	1	0.0024330900243309	411	8168	447818	taf6
3.40.50.410	-	0.892029860708879	-0.114255670831411	43	1	0.0024330900243309	411	8168	406774	sec23a
3.20.20.70	-	0.8974914886789	-0.108151642030799	44	1	0.0024330900243309	411	8168	553639	gmpr
2.60.40.60	-	0.923508114563712	-0.0795756926313516	82	2	0.0048661800486618	411	8168	100125749,30456	clstn2,pcdh8
1.10.10.10	-	0.942153233287849	-0.0595873496009743	200	6	0.0145985401459854	411	8168	405850,554509,387534,337626,406741,564127	foxg1b,orc1,elf2b,etv5a,e2f4,foxp1a
4.10.45.10	-	0.947828668981834	-0.0535815219826707	57	1	0.0024330900243309	411	8168	100034496	trim35-30
2.10.90.10	-	0.963751826134433	-0.0369214592846726	64	1	0.0024330900243309	411	8168	359834	tgfb1a
3.10.100.10	-	0.976101187803679	-0.0241890219146732	72	1	0.0024330900243309	411	8168	436929	dgcr2
2.60.120.200	-	0.980597728066644	-0.0195929666485326	76	1	0.0024330900243309	411	8168	100125749	clstn2
1.10.720.30	-	0.999999999985207	-1.47931400876019e-11	10	0	0	411	8168
