Id	text	size	colour
ENSDARG00000009493	NA	1	NA
ENSDARG00000091521	NA	1	NA
ENSDARG00000020521	NA	1	NA
ENSDARG00000005739	NA	1	NA
ENSDARG00000001676	NA	1	NA
ENSDARG00000102855	NA	1	NA
ENSDARG00000075100	NA	1	NA
ENSDARG00000102069	NA	1	NA
ENSDARG00000056133	NA	1	NA
ENSDARG00000043317	NA	1	NA
ENSDARG00000012674	NA	1	NA
ENSDARG00000021443	NA	1	NA
ENSDARG00000016154	NA	1	NA
ENSDARG00000095819	NA	1	NA
ENSDARG00000004621	NA	1	NA
ENSDARG00000033160	NA	1	NA
ENSDARG00000062510	NA	1	NA
ENSDARG00000063153	NA	1	NA
ENSDARG00000061352	NA	1	NA
ENSDARG00000042660	NA	1	NA
ENSDARG00000102974	NA	1	NA
ENSDARG00000079470	NA	1	NA
ENSDARG00000054344	NA	1	NA
ENSDARG00000051857	NA	1	NA
ENSDARG00000114038	NA	1	NA
ENSDARG00000034941	NA	1	NA
ENSDARG00000055279	NA	1	NA
ENSDARG00000075416	NA	1	NA
ENSDARG00000012823	NA	1	NA
ENSDARG00000060849	NA	1	NA
ENSDARG00000032737	NA	1	NA
ENSDARG00000037498	NA	1	NA
ENSDARG00000042707	NA	1	NA
ENSDARG00000058064	NA	1	NA
ENSDARG00000035553	NA	1	NA
ENSDARG00000103311	NA	1	NA
ENSDARG00000035066	NA	1	NA
ENSDARG00000032714	NA	1	NA
ENSDARG00000021352	NA	1	NA
ENSDARG00000011370	NA	1	NA
ENSDARG00000025319	NA	1	NA
ENSDARG00000045153	NA	1	NA
ENSDARG00000044094	NA	1	NA
ENSDARG00000025858	NA	1	NA
ENSDARG00000060115	NA	1	NA
ENSDARG00000015174	NA	1	NA
ENSDARG00000020847	NA	1	NA
ENSDARG00000041665	NA	1	NA
ENSDARG00000079586	NA	1	NA
ENSDARG00000100032	NA	1	NA
ENSDARG00000058179	NA	1	NA
ENSDARG00000062478	NA	1	NA
ENSDARG00000033614	NA	1	NA
ENSDARG00000101368	NA	1	NA
ENSDARG00000101225	NA	1	NA
ENSDARG00000102831	NA	1	NA
ENSDARG00000058649	NA	1	NA
ENSDARG00000102746	NA	1	NA
ENSDARG00000055294	NA	1	NA
ENSDARG00000098599	NA	1	NA
ENSDARG00000016963	NA	1	NA
ENSDARG00000068572	NA	1	NA
ENSDARG00000038990	NA	1	NA
ENSDARG00000074502	NA	1	NA
ENSDARG00000044574	NA	1	NA
ENSDARG00000041358	NA	1	NA
ENSDARG00000077588	NA	1	NA
ENSDARG00000037555	NA	1	NA
ENSDARG00000069552	NA	1	NA
ENSDARG00000070571	NA	1	NA
ENSDARG00000078155	NA	1	NA
ENSDARG00000074023	NA	1	NA
ENSDARG00000003462	NA	1	NA
ENSDARG00000018321	NA	1	NA
ENSDARG00000018611	NA	1	NA
ENSDARG00000093997	NA	1	NA
ENSDARG00000099624	NA	1	NA
ENSDARG00000044282	NA	1	NA
ENSDARG00000042551	NA	1	NA
ENSDARG00000031845	NA	1	NA
ENSDARG00000074425	NA	1	NA
ENSDARG00000096912	NA	1	NA
ENSDARG00000002880	NA	1	NA
ENSDARG00000098687	NA	1	NA
ENSDARG00000035420	NA	1	NA
ENSDARG00000036772	NA	1	NA
ENSDARG00000044556	NA	1	NA
ENSDARG00000113768	NA	1	NA
ENSDARG00000004782	NA	1	NA
ENSDARG00000043662	NA	1	NA
ENSDARG00000034165	NA	1	NA
ENSDARG00000035899	NA	1	NA
ENSDARG00000057032	NA	1	NA
ENSDARG00000063684	NA	1	NA
ENSDARG00000010231	NA	1	NA
ENSDARG00000074690	NA	1	NA
ENSDARG00000078822	NA	1	NA
ENSDARG00000101586	NA	1	NA
ENSDARG00000109996	NA	1	NA
ENSDARG00000078585	NA	1	NA
ENSDARG00000076120	NA	1	NA
ENSDARG00000068691	NA	1	NA
ENSDARG00000043095	NA	1	NA
ENSDARG00000023703	NA	1	NA
ENSDARG00000005453	NA	1	NA
ENSDARG00000063438	NA	1	NA
ENSDARG00000012244	NA	1	NA
ENSDARG00000093600	NA	1	NA
ENSDARG00000099843	NA	1	NA
ENSDARG00000014550	NA	1	NA
ENSDARG00000086573	NA	1	NA
ENSDARG00000089444	NA	1	NA
ENSDARG00000094380	NA	1	NA
ENSDARG00000041022	NA	1	NA
ENSDARG00000008548	NA	1	NA
ENSDARG00000031683	NA	1	NA
ENSDARG00000095640	NA	1	NA
ENSDARG00000052129	NA	1	NA
ENSDARG00000008807	NA	1	NA
ENSDARG00000024276	NA	1	NA
ENSDARG00000020746	NA	1	NA
ENSDARG00000054778	NA	1	NA
ENSDARG00000076542	NA	1	NA
ENSDARG00000077013	NA	1	NA
